place_fips_code,city,county_fips_code,county,calendar_year,estimate,primary_latitude,primary_longitude,primary_point
1900370,Adair (pt.),19001,Adair,2024-07-01,774.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2023-07-01,763.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2022-07-01,772.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2021-07-01,776.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2020-04-01,773.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2019-07-01,695.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2018-07-01,688.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2017-07-01,684.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2016-07-01,681.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2015-07-01,701.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2014-07-01,724.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2013-07-01,727.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2012-07-01,735.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2011-07-01,748.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1900370,Adair (pt.),19001,Adair,2010-04-01,762.0,41.5003898,-94.6434132,POINT(-94.6434132 41.5003898)
1999990,Balance of Adair County,19001,Adair,2024-07-01,2712.0,,,
1999990,Balance of Adair County,19001,Adair,2023-07-01,2672.0,,,
1999990,Balance of Adair County,19001,Adair,2022-07-01,2699.0,,,
1999990,Balance of Adair County,19001,Adair,2021-07-01,2729.0,,,
1999990,Balance of Adair County,19001,Adair,2020-04-01,2727.0,,,
1999990,Balance of Adair County,19001,Adair,2019-07-01,2729.0,,,
1999990,Balance of Adair County,19001,Adair,2018-07-01,2703.0,,,
1999990,Balance of Adair County,19001,Adair,2017-07-01,2697.0,,,
1999990,Balance of Adair County,19001,Adair,2016-07-01,2680.0,,,
1999990,Balance of Adair County,19001,Adair,2015-07-01,2763.0,,,
1999990,Balance of Adair County,19001,Adair,2014-07-01,2843.0,,,
1999990,Balance of Adair County,19001,Adair,2013-07-01,2849.0,,,
1999990,Balance of Adair County,19001,Adair,2012-07-01,2884.0,,,
1999990,Balance of Adair County,19001,Adair,2011-07-01,2915.0,,,
1999990,Balance of Adair County,19001,Adair,2010-04-01,2967.0,,,
1908425,Bridgewater,19001,Adair,2024-07-01,145.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2023-07-01,143.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2022-07-01,144.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2021-07-01,146.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2020-04-01,148.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2019-07-01,151.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2018-07-01,149.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
1908425,Bridgewater,19001,Adair,2017-07-01,149.0,41.2470992,-94.6689384,POINT(-94.6689384 41.2470992)
