record_id,geography_id,county_fips_code,geography_type,geography_name,data_collection_period,data_collection_end_date,is_current_period,census_table,variable,variable_description,category,population_segment,age_range,race,is_hispanic_or_latino,sex,children_status,is_below_poverty_level,is_disabled,educational_attainment,estimate,margin_of_error,change,change_rate,prim_lat_dec,prim_long_dec
1600000US1901855-2024-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2024,2024-12-31,true,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,62531,1029,3054,0.0513,42.0255361,-93.6213875
1600000US1901855-2023-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2023,2023-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,59477,1181,-1425,-0.0234,42.0255361,-93.6213875
1600000US1901855-2022-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2022,2022-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,60902,923,830,0.0138,42.0255361,-93.6213875
1600000US1901855-2021-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2021,2021-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,60072,1307,419,0.007,42.0255361,-93.6213875
1600000US1901855-2019-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2019,2019-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,59653,1252,-585,-0.0097,42.0255361,-93.6213875
1600000US1901855-2018-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2018,2018-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,60238,858,464,0.0078,42.0255361,-93.6213875
1600000US1901855-2017-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2017,2017-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,59774,1060,394,0.0066,42.0255361,-93.6213875
1600000US1901855-2016-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2016,2016-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,59380,784,1661,0.0288,42.0255361,-93.6213875
1600000US1901855-2015-S2301_C01_001,1600000US1901855,,Place,"Ames, Iowa",2015,2015-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,57719,1087,,,42.0255361,-93.6213875
1600000US1902305-2024-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2024,2024-12-31,true,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
1600000US1902305-2023-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2023,2023-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
1600000US1902305-2022-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2022,2022-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
1600000US1902305-2021-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2021,2021-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
1600000US1902305-2019-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2019,2019-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
1600000US1902305-2018-S2301_C01_001,1600000US1902305,,Place,"Ankeny, Iowa",2018,2018-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,,,,,41.7289416,-93.6029859
0500000US19013-2024-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2024,2024-12-31,true,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106458,637,1180,0.0112,,
0500000US19013-2023-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2023,2023-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,105278,762,438,0.0042,,
0500000US19013-2022-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2022,2022-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,104840,602,-346,-0.0033,,
0500000US19013-2021-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2021,2021-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,105186,620,-1389,-0.013,,
0500000US19013-2019-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2019,2019-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106575,894,-356,-0.0033,,
0500000US19013-2018-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2018,2018-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106931,637,41,0.0004,,
0500000US19013-2017-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2017,2017-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106890,413,-345,-0.0032,,
0500000US19013-2016-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2016,2016-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,107235,756,-159,-0.0015,,
0500000US19013-2015-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2015,2015-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,107394,476,-466,-0.0043,,
0500000US19013-2014-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2014,2014-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,107860,565,626,0.0058,,
0500000US19013-2013-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2013,2013-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,107234,863,1073,0.0101,,
0500000US19013-2012-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2012,2012-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106161,440,-593,-0.0056,,
0500000US19013-2011-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2011,2011-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,106754,459,921,0.0087,,
0500000US19013-2010-S2301_C01_001,0500000US19013,19013,County,"Black Hawk County, Iowa",2010,2010-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,105833,661,,,,
1600000US1912000-2024-S2301_C01_001,1600000US1912000,,Place,"Cedar Rapids, Iowa",2024,2024-12-31,true,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,112117,1997,-286,-0.0025,41.9660795,-91.6786291
1600000US1912000-2023-S2301_C01_001,1600000US1912000,,Place,"Cedar Rapids, Iowa",2023,2023-12-31,false,S2301,S2301_C01_001,Total - Population 16 years and over,Total,Population 16 Years and Over,,,,,,,,,112403,1979,-478,-0.0042,41.9660795,-91.6786291
