county,year,avg_alcohol_level_g210L,num_tests
Adair,2002,0.144,10
Adair,2003,0.124,46
Adair,2004,0.122,32
Adair,2005,0.124,26
Adair,2006,0.104,27
Adair,2007,0.117,35
Adair,2008,0.114,30
Adair,2009,0.15,23
Adair,2010,0.173,20
Adair,2012,0.124,24
Adair,2013,0.126,21
Adair,2014,0.159,29
Adair,2015,0.133,25
Adair,2016,0.142,28
Adair,2017,0.152,23
Adair,2018,0.115,20
Adair,2019,0.152,16
Adair,2020,0.142,30
Adair,2021,0.129,38
Adair,2022,0.15,54
Adair,2023,0.16,31
Adair,2024,0.148,21
Adair,2025,0.143,21
Adair,2026,0.15,8
Adams,2002,0.187,4
Adams,2003,0.101,11
Adams,2004,0.168,15
Adams,2005,0.177,7
Adams,2006,0.151,27
Adams,2007,0.137,12
Adams,2008,0.1,11
Adams,2009,0.144,20
Adams,2010,0.126,24
Adams,2011,0.124,29
Adams,2012,0.122,29
Adams,2013,0.141,23
Adams,2014,0.114,18
Adams,2015,0.126,23
Adams,2016,0.131,25
Adams,2017,0.102,33
Adams,2018,0.083,29
Adams,2019,0.073,18
Adams,2020,0.14,13
Adams,2021,0.133,12
Adams,2022,0.146,13
Adams,2023,0.096,21
Adams,2024,0.135,14
Adams,2025,0.118,17
Adams,2026,0.131,8
Allamakee,2002,0.142,54
Allamakee,2003,0.151,20
Allamakee,2004,0.162,18
Allamakee,2005,0.142,47
Allamakee,2006,0.146,101
Allamakee,2007,0.146,58
Allamakee,2008,0.132,81
Allamakee,2009,0.13,38
Allamakee,2010,0.139,53
Allamakee,2011,0.147,125
Allamakee,2012,0.133,75
Allamakee,2013,0.153,69
Allamakee,2014,0.135,39
Allamakee,2015,0.141,51
Allamakee,2016,0.15,64
Allamakee,2017,0.12,71
Allamakee,2018,0.134,62
Allamakee,2019,0.148,51
Allamakee,2020,0.121,49
Allamakee,2021,0.141,48
Allamakee,2022,0.135,49
Allamakee,2023,0.144,49
Allamakee,2024,0.148,53
Allamakee,2025,0.151,53
Allamakee,2026,0.118,14
Appanoose,2002,0.097,166
Appanoose,2003,0.109,245
Appanoose,2004,0.118,190
Appanoose,2005,0.107,242
Appanoose,2006,0.108,168
Appanoose,2007,0.108,195
Appanoose,2008,0.108,174
Appanoose,2009,0.102,252
Appanoose,2010,0.121,73
Appanoose,2011,0.124,97
Appanoose,2012,0.136,90
Appanoose,2013,0.136,88
Appanoose,2014,0.144,51
Appanoose,2015,0.134,59
Appanoose,2016,0.127,52
Appanoose,2017,0.122,53
Appanoose,2018,0.134,47
Appanoose,2019,0.136,48
Appanoose,2020,0.104,62
Appanoose,2021,0.101,71
Appanoose,2022,0.116,79
Appanoose,2023,0.121,67
Appanoose,2024,0.114,65
Appanoose,2025,0.143,57
Appanoose,2026,0.133,42
Audubon,2002,0.168,16
Audubon,2003,0.136,24
Audubon,2004,0.138,23
Audubon,2005,0.139,25
Audubon,2006,0.118,18
Audubon,2007,0.129,32
Audubon,2008,0.113,44
Audubon,2009,0.134,45
Audubon,2010,0.111,23
Audubon,2011,0.157,19
Audubon,2012,0.122,16
Audubon,2013,0.152,19
Audubon,2014,0.113,20
Audubon,2015,0.117,23
Audubon,2016,0.126,24
Audubon,2017,0.147,22
Audubon,2018,0.146,19
Audubon,2019,0.157,13
Audubon,2020,0.122,21
Audubon,2021,0.111,32
Audubon,2022,0.127,11
Audubon,2023,0.132,5
Audubon,2024,0.145,25
Audubon,2025,0.123,13
Audubon,2026,0.194,5
Benton,2002,0.122,102
Benton,2003,0.125,171
Benton,2004,0.12,145
Benton,2005,0.12,138
Benton,2006,0.121,135
Benton,2007,0.127,136
Benton,2008,0.124,107
Benton,2009,0.111,143
Benton,2010,0.114,137
Benton,2011,0.143,163
Benton,2012,0.133,161
Benton,2013,0.113,119
Benton,2014,0.116,104
Benton,2015,0.127,122
Benton,2016,0.108,100
Benton,2017,0.115,94
Benton,2018,0.126,76
Benton,2019,0.119,79
Benton,2020,0.097,74
Benton,2021,0.099,102
Benton,2022,0.106,97
Benton,2023,0.106,83
Benton,2024,0.111,56
Benton,2025,0.123,62
Benton,2026,0.099,16
Black Hawk,2002,0.157,529
Black Hawk,2003,0.152,706
Black Hawk,2004,0.149,916
Black Hawk,2005,0.152,961
Black Hawk,2006,0.139,1001
